NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
NEBA-SEPT;;;TAKEDA PHARMA LTDA.
ALCOOL IODADO;;;LABORATORIO MADREVITA LTDA
CALENDULA;;;LABORATORIO YANTEN LTDA ME
CONCOR ANLO;hemiFUMARATO DE BISOPROLOL, BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;MERCK S/A
METILDOPA;METILDOPA SESQUI-HIDRATADA;ANTI-HIPERTENSIVOS;HIPOLABOR FARMACEUTICA LTDA
PURE SEPT OX;;;UNITHER INDUSTRIA FARMACEUTICA LTDA.
GINOFLORAX;SACCHAROMYCES CEREVISAE;PRODUTOS GINECOLOGICOS TOPICOS;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A
GLICERINA;;;LABORATORIO INDUSTRIAL FARMACEUTICO LIFAR LTDA
OMOPREL;OMEPRAZOL;ANTIULCEROSOS;BELFAR LTDA
OXALATO DE ESCITALOPRAM;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;RANBAXY FARMACEUTICA LTDA
ACETATO DE ATOSIBANA;acetato de atosibana;OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;LABORATORIOS FERRING LTDA
AZUL DE METILENO 1% RIOQUIMICA;;;RIOQUIMICA S.A.
BICARBONATO DE SODIO;BICARBONATO DE SODIO;ELETROLITOS SIMPLES;SAMTEC BIOTECNOLOGIA LIMITADA
BICARBONATO DE SODIO RIOQUIMICA;;;RIOQUIMICA S.A.
BUDESONIDA;BUDESONIDA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;EMS S/A
CLORIDRATO DE SERTRALINA;CLORIDRATO DE SERTRALINA;ANTIDEPRESSIVOS;EUROFARMA LABORATORIOS S.A.
ENTARKIN;ENTACAPONA;ANTIPARKINSONIANOS;EMS SIGMA PHARMA LTDA
NARIDRIN AQUA / NARIDRIN BEBE;;;EMS S/A
CITALOPRAM;CITALOPRAM;ANTIDEPRESSIVOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
PRATI-SAL;;;PRATI DONADUZZI & CIA LTDA
TALCO MENTOLADO RIOQUIMICA;;;RIOQUIMICA S.A.
BERIPLEX P/N;FATOR II DE COAGULACAO, FATOR VII DE COAGULACAO, FATOR IX DE COAGULACAO, PROTEINA C, FATOR X, FATOR X DE COAGULACAO , PROTEINA S;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;CSL BEHRING COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
SIGMA-CLAV BD;AMOXICILINA, CLAVULANATO DE POTASSIO;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;EMS SIGMA PHARMA LTDA
THEOLATE;;;THEODORO F SOBRAL & CIA LTDA
ANTI SEPTICO CLO;;;KLEY HERTZ FARMACEUTICA S.A
EROXYM;pemetrexede dissodico;ANTINEOPLASICO;EUROFARMA LABORATORIOS S.A.
